text1, text2,  similarity
зеленню зі картопляні смаком сметани із,барбекю зі картопляні крилець смаком хвилясті,0.321581
зі картопляні муп смаком стейк техаський хвилясті,барбекю зі картопляні крилець смаком хвилясті,0.426131
зі картопляні муп смаком стейк техаський хвилясті,зеленню зі картопляні смаком сметани із,0.392667
в лисички муп сметані хвилясті,зі картопляні муп смаком стейк техаський хвилясті,0.439623
в лисички муп сметані хвилясті,барбекю зі картопляні крилець смаком хвилясті,0.432000
зі картопляні сиру смаком,васабі зі картопляні рифлені смаком,0.477226
зі картопляні крабу смаком,васабі зі картопляні рифлені смаком,0.408378
зі картопляні крабу смаком,зі картопляні сиру смаком,0.465190
зі картопляні паприки смаком,васабі зі картопляні рифлені смаком,0.400878
зі картопляні паприки смаком,зі картопляні сиру смаком,0.368124
зі картопляні паприки смаком,зі картопляні крабу смаком,0.331965
бекону зі картопляні смаком,васабі зі картопляні рифлені смаком,0.454853
бекону зі картопляні смаком,зі картопляні сиру смаком,0.364793
бекону зі картопляні смаком,зі картопляні крабу смаком,0.456459
бекону зі картопляні смаком,зі картопляні паприки смаком,0.476278
зеленню зі картопляні смаком сметани із,васабі зі картопляні рифлені смаком,0.307884
зеленню зі картопляні смаком сметани із,зі картопляні сиру смаком,0.453822
зеленню зі картопляні смаком сметани із,зі картопляні крабу смаком,0.310320
зеленню зі картопляні смаком сметани із,зі картопляні паприки смаком,0.394426
зі картопляні крабу муп смаком,зі картопляні крабу смаком,0.350384
зі картопляні крабу муп смаком,зі картопляні муп смаком стейк техаський хвилясті,0.408303
зі картопляні крабу муп смаком,в лисички муп сметані хвилясті,0.351000
зі картопляні крабу муп смаком,барбекю зі картопляні крилець смаком хвилясті,0.373352
зелень зі картопляні муп смаком сметана та,зі картопляні крабу муп смаком,0.483198
зелень зі картопляні муп смаком сметана та,зі картопляні муп смаком стейк техаський хвилясті,0.349660
зелень зі картопляні муп смаком сметана та,в лисички муп сметані хвилясті,0.387000
зелень зі картопляні муп смаком сметана та,барбекю зі картопляні крилець смаком хвилясті,0.415395
барбекю зі картопляні смаком,зі картопляні сиру смаком чіпси,0.331646
chippito mr зі картопляні куп смаком сметани та цибулі,зеленню зі картопляні смаком сметани із,0.372877
chippito mr зі картопляні куп смаком сметани та цибулі,барбекю зі картопляні крилець смаком хвилясті,0.393088
chippito mr зі картопляні куп смаком сметани та цибулі,зі картопляні муп смаком стейк техаський хвилясті,0.412961
chippito mr з картопляні куп морською оригінальні сіллю,chippito mr зі картопляні куп смаком сметани та цибулі,0.373280
chippito mr з картопляні куп морською оригінальні сіллю,барбекю зі картопляні смаком,0.396000
chippito mr з картопляні куп морською оригінальні сіллю,барбекю зі картопляні крилець смаком хвилясті,0.432000
chippito mr з картопляні куп морською оригінальні сіллю,зеленню зі картопляні смаком сметани із,0.423000
зі картопляні крабу муп смаком,зелені зі картопляні муп смаком сметани та,0.418063
гриль зі картопляні муп реберець смаком,зелені зі картопляні муп смаком сметани та,0.395888
гриль зі картопляні муп реберець смаком,зі картопляні крабу муп смаком,0.441975
baked запечені зі картопляні лисичок муп смаком сметані у,baked з запечені зі йогурту картопляні муп смаком травами,0.478169
сир цибуля чеддер чіпси і,зелені зі картопляні муп смаком сметани та,0.315000
сир цибуля чеддер чіпси і,зі картопляні крабу муп смаком,0.378000
max зі картопляні лобстера муп рифлені смаком,зелені зі картопляні муп смаком сметани та,0.372401
max зі картопляні лобстера муп рифлені смаком,зі картопляні крабу муп смаком,0.324876
max зі картопляні лобстера муп рифлені смаком,гриль зі картопляні муп реберець смаком,0.488410
max зі картопляні лобстера муп рифлені смаком,baked з запечені зі йогурту картопляні муп смаком травами,0.465820
зі кукурудзяні начо сиру смаком,барбекю зі кукурудзяні начо смаком,0.347020
зі лисичок муп смаком хвилясті,зі муп смаком сметана та хвилясті цибуля,0.383742
вершках зі лосося смаком у чіпси,зі муп смаком сметана та хвилясті цибуля,0.432000
вершках зі лосося смаком у чіпси,зі лисичок муп смаком хвилясті,0.429795
зі муп паприки смаком хвилясті,зі муп смаком сметана та хвилясті цибуля,0.476183
зі муп паприки смаком хвилясті,зі лисичок муп смаком хвилясті,0.368857
зі муп паприки смаком хвилясті,вершках зі лосося смаком у чіпси,0.441000
зі картопляні паприки смаком,зі картопляні сиру смаком чіпси,0.470181
зі картопляні смаком сметани та цибулі чіпси,зі картопляні сиру смаком чіпси,0.399009
зі картопляні смаком сметани та цибулі чіпси,зі картопляні паприки смаком,0.409306
max зі рифлені смаком сметанацибуля,deepcut max зі сальси смаком,0.432000
baked oven з зі йогурту смаком травами,baked з запечені зі йогурту картопляні муп смаком травами,0.349591
baked oven з зі йогурту смаком травами,baked запечені зі картопляні лисичок муп смаком сметані у,0.432000
max зі королівський рифлені сир смаком,max зі рифлені смаком сметанацибуля,0.395985
max зі королівський рифлені сир смаком,deepcut max зі сальси смаком,0.349368
зі картопляні паприки смаком,зелені зі картопляні муп смаком сметани та,0.360146
зі картопляні паприки смаком,зі картопляні крабу муп смаком,0.302608
зі картопляні сиру смаком,зелені зі картопляні муп смаком сметани та,0.439069
зі картопляні сиру смаком,зі картопляні крабу муп смаком,0.314772
max зі лобстера рифлені смаком,max зі рифлені смаком сметанацибуля,0.351339
max зі лобстера рифлені смаком,max зі королівський рифлені сир смаком,0.462423
max зі лобстера рифлені смаком,deepcut max зі сальси смаком,0.362941
зі картопляні ковбаски смаком та цибулька чорізо,з зі картопляні макарони сиром смаком,0.312492
з картопляні сіллю,зелені зі картопляні муп смаком сметани та,0.378000
з картопляні сіллю,зі картопляні крабу муп смаком,0.477889
з картопляні сіллю,зі картопляні паприки смаком,0.450405
з картопляні сіллю,зі картопляні сиру смаком,0.423873
з запечені зі карамеллю картопляні смаком яблучка,з зі картопляні макарони сиром смаком,0.330482
з запечені зі карамеллю картопляні смаком яблучка,зі картопляні ковбаски смаком та цибулька чорізо,0.471522
зі картопляні краба смаком,зелені зі картопляні муп смаком сметани та,0.340971
зі картопляні краба смаком,зі картопляні крабу муп смаком,0.421120
зі картопляні краба смаком,зі картопляні паприки смаком,0.442979
зі картопляні краба смаком,зі картопляні сиру смаком,0.325975
зелені зі картопляні смаком сметани та,зелені зі картопляні муп смаком сметани і,0.9
зелені зі картопляні смаком сметани та,зелені зі картопляні муп смаком сметани та,0.9
зелені зі картопляні смаком сметани та,зі картопляні крабу муп смаком,0.381901
зелені зі картопляні смаком сметани та,зі картопляні паприки смаком,0.441700
зелені зі картопляні смаком сметани та,зі картопляні сиру смаком,0.406332
